Column1;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
0;Female;0;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;2985;2985;No
1;Male;0;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check;5695;18895;No
2;Male;0;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;5385;10815;Yes
3;Male;0;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic);423;184075;No
4;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;707;15165;Yes
5;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9965;8205;Yes
6;Male;0;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);891;19494;No
7;Female;0;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;2975;3019;No
8;Female;0;Yes;No;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1048;304605;Yes
9;Male;0;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);5615;348795;No
10;Male;0;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;4995;58745;No
11;Male;0;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);1895;3268;No
12;Male;0;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);10035;56811;No
13;Male;0;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1037;50363;Yes
14;Male;0;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1055;268605;No
15;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);11325;789515;No
16;Female;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;2065;102295;No
17;Male;0;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);1067;738225;No
18;Female;0;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);552;52835;Yes
19;Female;0;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;9005;18629;No
20;Male;1;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;3965;3965;Yes
21;Male;0;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);198;20225;No
22;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2015;2015;Yes
23;Female;0;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);599;35051;No
24;Male;0;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);596;29703;No
25;Female;0;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);553;15306;No
26;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9935;474915;Yes
27;Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;302;302;Yes
28;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);9025;636945;No
29;Female;0;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;647;10931;Yes
30;Female;1;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);9635;676695;No
31;Male;1;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);955;18165;No
32;Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;6615;187445;No
33;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);202;202;No
34;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);4525;4525;No
35;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);999;72517;No
36;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;697;3169;Yes
37;Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);748;35483;No
38;Male;0;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;10635;354925;Yes
39;Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);9785;11054;Yes
40;Male;0;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;4955;4757;No
41;Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);692;487235;No
42;Female;0;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;2075;41825;No
43;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);7985;486145;No
44;Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;762;98145;No
45;Female;0;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;845;39067;No
46;Male;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;4925;970;No
47;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8065;14415;Yes
48;Male;0;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);7975;42178;No
49;Female;0;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);6415;42541;No
50;Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9025;383875;No
51;Female;0;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);991;14264;Yes
52;Female;1;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);695;175265;No
53;Female;1;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);8065;6333;Yes
54;Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);7485;445635;No
55;Male;1;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9545;175255;Yes
56;Female;0;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);9965;63112;No
57;Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;10845;707635;No
58;Female;0;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);2495;8943;No
59;Female;0;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1075;78537;No
60;Female;0;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1005;47071;No
61;Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);899;54507;No
62;Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);421;29620;No
63;Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);544;9571;No
64;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;944;85725;Yes
65;Female;0;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;753;2441;No
66;Male;0;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;789;365035;No
67;Female;0;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;792;24972;No
68;Female;0;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2015;9309;No
69;Male;0;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;7985;88735;No
70;Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;4905;4905;No
71;Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;204;109065;No
72;Male;1;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1116;70990;No
73;Male;0;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);2425;14246;No
74;Female;0;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);645;1774;No
75;Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;1105;61395;No
76;Female;0;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);5565;268885;No
77;Female;0;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;5465;48225;No
78;Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;7475;21113;No
79;Female;0;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);259;12166;No
80;Female;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;7935;7935;Yes
81;Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;5055;56535;No
82;Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);7515;4969;Yes
83;Female;0;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1038;43275;No
84;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);2015;97335;No
85;Male;0;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);993;91875;No
86;Female;0;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);6215;221545;No
87;Female;0;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2065;10570;No
88;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;1995;9271;No
89;Male;0;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;3375;100925;No
90;Male;0;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);8205;25702;No
91;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;747;747;No
92;Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;840;571425;No
93;Female;0;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);11105;71070;No
94;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);1009;745905;No
95;Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;7895;92735;Yes
96;Male;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);6685;47487;No
